自治体名,運行日・運行期間,主な自動運転事業者,車種等,料金,補助金等1,補助金等2,備考,level,URL,地域,latitude,longitude,no
帯広市,2024年1月26～28日,"BOLDLY/Cenec Co.,Ltd.",MiCa(Auve Tech),不明,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://kachimai.jp/article/?no=602347,北海道,42.90614929,143.1872991,1
岩見沢市,2023年10月15日〜20日,MACNICA,ARMA(NAVYA),無料,-,,,2,https://www.city.iwamizawa.hokkaido.jp/soshiki/johoseisakuka/11697.html,北海道,43.26245404,141.6960479,2
苫小牧市,2023年9月20日～10月15日,BOLDLY Inc.,ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.tomakomai.hokkaido.jp/shisei/kokyokotu/bus/zidouunten.html,北海道,42.63972133,141.5983554,3
上士幌町,2023年6月26日～,BOLDLY Inc.,ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.kamishihoro.jp/sp/self_driving_bus,北海道,43.23191882,143.2955155,4
大館市,2023年11月21日～30日,"WILLER/TIER IV, Inc.",?(TAJIMA MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.odate.lg.jp/city/soshiki/toshiseibi/p10620,東北,40.21919721,140.5841562,5
上小阿仁村,2019年11月30日～,(NPO),"?(Yamaha Motor Co., Ltd.)",200円,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,内閣府戦略的イノベーション創造プログラム（SIP）第2期移動運転で進める「自動運転移動サービスの実用化並びに横展開に向けた環境整備」のプロジェクト,2,http://kamikoani-ac-nk.jp/,東北,40.06318394,140.2971151,6
田村市,2023年12月9日～22日,BOLDLY Inc.,ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.tamura.lg.jp/soshiki/1/jidouunten.html,東北,37.4433506,140.5744188,7
常陸太田市,2023年2月17日～23日,MACNICA,ARMA(NAVYA),無料,-,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://autonomouscar-hitachiota.jp/,関東,36.53875837,140.5309731,9
つくば市,2024年1月9日1〜30日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",GSM8(TAJIMA MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.tsukuba.lg.jp/soshikikarasagasu/seisakuinnovationbusmartcitysenryakuka/gyomuannai/1/18462.html,関東,36.11293365,140.0974723,10
境町,2020年11月26日〜通年,BOLDLY Inc./MACNICA,ARMA(NAVYA),無料,-,自動運転実証調査事業と連携した路車協調システム実証実験,,4,https://www.town.ibaraki-sakai.lg.jp/page/page002440.html,関東,36.10362753,139.7957378,11
日光市,2023年9月21日～10月4日,"Advanced Smart Mobility Co., Ltd.",J6(BYD),大人(中学生以上)500円、小児(6歳～12歳)250円,,,,2,https://www.pref.tochigi.lg.jp/h03/houdou/20230831jidouunten-press-nikkojikken.html,関東,36.76988459,139.4532548,-
下野市,2024年1月16日～2月19日,"Advanced Smart Mobility Co., Ltd.",ERGA mio(ISUZU MOTORS LIMITED),大人(中学生以上)190円、小児(6歳～12歳)100円,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://prtimes.jp/main/html/rd/p/000000159.000045067.html,関東,36.3952019,139.8548751,12
群馬県,2024年1月18～21日,Nippon Mobility Inc.,"Pon'cho(HINO MOTORS, LTD.)",一般試乗無し,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.pref.gunma.jp/site/houdou/624540.html,関東,36.3904457,139.0606528,
前橋市,2024年2月5～29日(水曜日・日曜日を除く),Nippon Mobility Inc.,?(?),180円（小人90円）,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.maebashi.gunma.jp/soshiki/seisaku/kotsuseisaku/oshirase/39457.html,関東,36.39109251,139.074621,15
渋川市,2024年2月5～29日,Nippon Mobility Inc.,?(?),180円（運行ルートを1周すると240円）,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.shibukawa.lg.jp/kurashi/koutsuu/koukyoukoutsuu/p011107.html,関東,36.49060553,139.0079645,16
深谷市,2023年1月12～19日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.","Rainbow(HINO MOTORS, LTD.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.fukaya.saitama.jp/soshiki/toshiseibi/toshikeikaku/tanto/kokyokotsuzenpan_1/fukayazidounten_1/15314.html,関東,36.23387328,139.2637476,17
横芝光町,2023年2月2日～通年,"BOLDLY/Cenec Co.,Ltd.","Minibus(TIER IV, Inc.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.town.yokoshibahikari.chiba.jp/soshiki/3/22446.html,関東,35.65862086,140.5026863,18
東京都大田区1,2023年11月15～19日,(consortium),"Minibus(TIER IV, Inc.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.ota.tokyo.jp/kuseijoho/press/releaseR05/2023103101.html,関東,35.54848271,139.7542382,20
東京都大田区2,2023年12月25日～,BOLDLY Inc.,MiCa(Auve Tech),無料,,,,2,https://www.city.ota.tokyo.jp/kuseijoho/press/releaseR05/2023103101.html,関東,35.54701328,139.7566038,20
神奈川県,2023年10月23～27日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.","Rainbow(HINO MOTORS, LTD.)",一般試乗無し,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://a-drive.jp/2023/09/07/%E5%B7%9D%E5%B4%8E%E5%8C%BA%E5%86%85%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E8%87%AA%E5%8B%95%E9%81%8B%E8%BB%A2%E3%83%90%E3%82%B9%E3%81%AE%E5%AE%9F%E8%A8%BC%E5%AE%9F%E9%A8%93%E9%81%8B%E8%A1%8C%E3%81%AE/,関東,35.52030958,139.7377158,21
平塚市,2024年1月22日〜2月2日,"AISANTECHNOLOGY CO.,LTD.",?(ISUZU MOTORS LIMITED),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.hiratsuka.kanagawa.jp/machizukuri/page84_00063.html,関東,35.32722609,139.3511424,22
永平寺町,2023年5月28日〜常時レベル4,ZEN Connect,"?(Yamaha Motor Co., Ltd.)",大人100円 · 中学生以下50円,-,,,4,https://www.town.eiheiji.lg.jp/200/206/208/p010484.html,中部,36.065433,136.340649,-
佐渡市,2024年1月12、16、20、21日,"WILLER/TIER IV, Inc.","Minibus(TIER IV, Inc.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://prtimes.jp/main/html/rd/p/000000228.000027749.html,中部,38.03016069,138.2406342,23
弥彦村,2024年2月2日～通年運行(月・火・金のみ運行),BOLDLY Inc.,MiCa(Auve Tech),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.vill.yahiko.niigata.jp/selfdrivingbus/,中部,37.69405001,138.8423578,24
